model,category,pair_slug,statement_index,centered,concat_variant,reference_variant,layer,cosine
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,0,0.4201449039841128
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,0,-0.14649645296260397
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,0,0.40255804231012604
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,0,-0.1134699478663619
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,1,0.20569914050080634
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,1,-0.23494918406170745
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,1,0.22147242447716248
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,1,-0.19040395947396108
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,2,0.25871273136647693
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,2,-0.13634579473761405
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,2,0.28085564551135994
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,2,-0.09588073354678768
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,3,0.05648765656370022
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,3,-0.0166098153482566
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,3,0.07970457029340688
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,3,0.024900498065564988
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,4,0.07286834015098935
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,4,0.015835900721128355
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,4,0.0925767047074841
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,4,0.025585607694254213
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,5,0.2099586542117813
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,5,-0.005261969750087668
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,5,0.2372362420196086
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,5,0.010864278277844815
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,6,0.34802791897351315
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,6,0.18630909052616412
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,6,0.37692832691801903
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,6,0.21018544486003765
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,7,0.36482407643569204
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,7,0.2191490558335747
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,7,0.38817084679857705
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,7,0.24521135925558926
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,8,0.4627278702108341
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,8,0.3233056691766375
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,8,0.4696199093094998
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,8,0.34220162618814776
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,9,0.498391149260766
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,9,0.3687874565182919
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,9,0.5053116059363031
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,9,0.3865584488093161
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,10,0.5255614080222408
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,10,0.3856886813900197
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,10,0.5367613716240971
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,10,0.41314869688749845
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,11,0.5048588030680635
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,11,0.398951588387516
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,11,0.5175433972882764
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,11,0.41339203616819364
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,12,0.667844025176047
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,12,0.5755080777012985
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,12,0.6904332238843799
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,12,0.5771509695551854
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,13,0.6540398623881177
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,13,0.5207987117109008
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,13,0.6860916193957945
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,13,0.5079679338369744
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,14,0.6974348246784093
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,14,0.5396793500261584
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,14,0.7119888667253695
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,14,0.5219420993136732
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,15,0.6904113968492869
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,15,0.581702473925286
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,15,0.7082621688198026
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,15,0.57139948595822
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,16,0.7236739504099167
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,16,0.6373133655751847
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,16,0.7260624236574488
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,16,0.6189241637273177
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,17,0.8045321482586205
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,17,0.7543513740015144
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,17,0.805802799629202
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,17,0.727744241836114
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,18,0.8422133938146698
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,18,0.7824973293245052
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,18,0.8327019594864229
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,18,0.7518832618632775
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,19,0.8833658116216271
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,19,0.788328936860009
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,19,0.8770469871259384
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,19,0.7689916879559556
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,20,0.8770604030299687
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,20,0.7718816772645044
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,20,0.8565025982416004
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,20,0.7471182711118333
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,21,0.8402297359974927
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,21,0.7321127193647254
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,21,0.7524947266988289
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,21,0.6648208197959498
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,22,0.8304814395785728
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,22,0.7326032387342328
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,22,0.7417167121762541
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,22,0.6311037681054992
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,23,0.8445527368829858
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,23,0.7098840149274565
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,23,0.7497341708722177
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,23,0.6092192493343535
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,24,0.8392819160975259
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,24,0.7041683083385816
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,24,0.7692439021962529
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,24,0.6074475189588167
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,25,0.8448913887857744
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,25,0.720249763040686
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,25,0.7622414652456175
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,25,0.6270806082188003
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,26,0.8404292741164667
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,26,0.6971492553506986
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,26,0.7733810229565887
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,26,0.61878566284501
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,27,0.8455678800084607
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,27,0.7027201548355856
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,27,0.7723542614482167
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,27,0.6094873427877505
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,28,0.8434315039910792
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,28,0.7001095786682449
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,28,0.7606762620203601
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,28,0.5957528876647473
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,29,0.8365505384321139
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,29,0.7001271449451846
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,29,0.7627910075045883
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,29,0.5897566928362282
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,30,0.8233921519676946
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,30,0.673479054970374
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,30,0.7524058103611971
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,30,0.5757738881585697
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,31,0.7644392722503536
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,negative,31,0.6109370095397484
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,positive,31,0.7258901163461767
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,posneg,negative,31,0.48169201650315024
Qwen2.5-3B-Instruct,linguistic_style,linguistic_style__bullet_point_style__paragraph_style,24,True,negpos,positive,32,0.6663471774419507
