model,category,pair_slug,statement_index,centered,concat_variant,reference_variant,layer,cosine
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,0,0.1453342721132406
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,0,0.47919874441919524
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,0,0.14701034719627182
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,0,0.47817298571654065
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,1,0.19163297793546324
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,1,0.4203554033902706
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,1,0.19311314014584396
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,1,0.4201475193894862
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,2,0.2928145850448124
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,2,0.44651170033044063
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,2,0.29999153184993216
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,2,0.4532449393375689
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,3,0.3089115026402905
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,3,0.5030916057592107
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,3,0.3144010314757079
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,3,0.5071681331460562
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,4,0.31457704950183457
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,4,0.3895065976374338
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,4,0.3160525331869337
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,4,0.3863278235085458
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,5,0.53194180923246
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,5,0.5895710538390103
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,5,0.5322009188989698
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,5,0.5881911925287863
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,6,0.6724220492668241
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,6,0.6298632750331714
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,6,0.6696841941329504
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,6,0.6255595179570022
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,7,0.7589168917823297
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,7,0.6979357978623423
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,7,0.7569671261833846
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,7,0.6969541673707937
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,8,0.7664041288107667
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,8,0.7293081177074645
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,8,0.7603703432936756
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,8,0.732895190069303
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,9,0.7934423875814997
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,9,0.7688180882693394
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,9,0.7834975780852014
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,negative,9,0.7724323305254261
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,positive,10,0.7829991810224967
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,negpos,negative,10,0.7712618407098193
Llama-3.2-3B-Instruct,linguistic_style,linguistic_style__specific_wording__general_wording,54,True,posneg,positive,10,0.7818775315303041
