category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,variant,statement_index,statement,success,hidden_layer,hidden_layer_index,tsne_1,tsne_2,source_space,hidden_dim,pca_components,perplexity
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,0,Your future self is watching your choices today.,1,27,28,39.34024,-12.143996,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,1,You don’t have to attend every argument you’re invited to.,0,27,28,-36.784042,75.39428,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,2,"Happiness is a side effect, not a goal.",1,27,28,-61.154533,-89.26155,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,3,The only way out is through.,1,27,28,-60.95569,-88.64479,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,4,Small daily choices shape your entire life.,1,27,28,-60.552834,-88.54266,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,5,Most things aren’t as important as they seem.,0,27,28,-60.796875,-88.18672,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,6,Comfort zones feel safe but keep you stuck.,0,27,28,-55.236282,-81.77145,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,7,Letting go is sometimes the best form of control.,0,27,28,-31.818571,-3.901237,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,8,Your opinion of yourself matters more than others’ opinions of you.,0,27,28,47.529037,-2.2575479,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,9,The fear of failure keeps more people stuck than failure itself.,1,27,28,-59.660763,-86.542595,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,10,You are not behind; you’re on your own timeline.,0,27,28,-56.658615,-81.70653,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,11,The quality of your life depends on the quality of your thoughts.,0,27,28,-61.295982,-89.46098,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,12,Everything you admire in others exists within you.,0,27,28,-55.942436,-85.045654,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,13,Your ego is not your friend.,0,27,28,12.604855,-11.093557,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,14,Time reveals everything.,0,27,28,-60.94026,-88.58661,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,15,Nothing changes if nothing changes.,0,27,28,-59.587513,-86.18903,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,16,People don’t change until the pain of staying the same is greater than the pain of changing.,0,27,28,-60.85822,-88.16362,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,17,A beautiful life is built on ordinary moments.,1,27,28,-57.4963,-84.39827,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,18,"Most suffering comes from attachment, not circumstances.",1,27,28,-60.595203,-87.75762,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,19,People treat you how you let them.,0,27,28,-61.019028,-89.31017,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,20,Silence can be an answer.,0,27,28,-61.32825,-89.84897,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,21,Difficult conversations create deeper connections.,1,27,28,-61.25253,-89.241135,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,22,Your potential is limited by your willingness to grow.,1,27,28,-53.631077,-4.9424953,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,23,Everything you want is on the other side of fear.,0,27,28,-59.78022,-86.70483,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,24,Regret is a heavier burden than failure.,0,27,28,-54.7966,-81.79836,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,25,You don’t need to explain yourself to everyone.,1,27,28,-62.29637,57.13452,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,26,Perception is more powerful than reality.,1,27,28,-60.05156,-86.95613,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,27,"What you consume, consumes you.",0,27,28,-60.71626,94.56257,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,28,Most people settle because they fear uncertainty.,1,27,28,-56.5651,-84.52647,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,29,Your dreams won’t work unless you do.,0,27,28,-33.9702,51.70522,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,30,Peace is found in the present moment.,1,27,28,-61.421886,-89.8208,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,31,You don’t have to be perfect to be worthy.,1,27,28,-94.67651,-17.629871,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,32,A full schedule doesn’t mean a full life.,1,27,28,-5.437689,-7.4485364,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,33,You can’t pour from an empty cup.,0,27,28,-77.91044,-8.062499,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,34,People respect boundaries more than explanations.,0,27,28,-61.21026,-89.36245,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,35,"The more you seek approval, the less you feel it.",1,27,28,-61.214718,-88.72363,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,36,Hurt people hurt people.,0,27,28,-61.45385,-89.76432,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,37,You are more than your worst mistake.,0,27,28,-25.078697,19.550964,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,38,Confidence comes from keeping promises to yourself.,0,27,28,-60.706738,-88.320015,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,39,Your vibe attracts your tribe.,0,27,28,-84.0585,65.6406,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,40,Not everyone deserves access to you.,0,27,28,-57.31056,-85.77196,hidden_state,3072,50,35
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,negpos,41,Growth feels like breaking before it feels like blooming.,1,27,28,-60.299347,-87.03637,hidden_state,3072,50,35
