category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,layer,layer_index,n_layers,hidden_dim,pos_base_norm,neg_base_norm,shared_norm,contrast_norm,contrast_clean_norm,contrast_to_shared_cos,abs_contrast_shared_cos,contrast_clean_to_shared_cos,contrast_to_shared_norm_ratio,contrast_clean_to_contrast_norm_ratio,contrast_shared_projection_norm
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,-35,1,35,2048,1.4783822298049927,0.9725643992424011,1.1848151683807373,0.8048869967460632,0.6116622090339661,0.6499986052513123,0.6499986052513123,-1.927654258437883e-09,0.6793354931858999,0.7599355083468216,0.5231754183769226
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,-35,1,35,2048,1.4795184135437012,0.9658182859420776,1.1759405136108398,0.8439289331436157,0.6534059643745422,0.6328886151313782,0.6328886151313782,1.6666115598695797e-08,0.7176629458511041,0.7742428760448112,0.5341129899024963
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,-35,1,35,2048,1.4724974632263184,0.9016796350479126,1.146740198135376,0.8381509184837341,0.5944170951843262,0.7050068378448486,0.7050068378448486,7.104722499207128e-08,0.7308986986298949,0.7092005533557879,0.5909020900726318
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,-35,1,35,2048,1.5246011018753052,1.0768996477127075,1.2548989057540894,0.8180206418037415,0.6736516356468201,0.5672956705093384,0.5672956705093384,-1.3275261778744607e-07,0.6518617858800183,0.8235142259508431,0.46405965089797974
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,-35,1,35,2048,1.540324091911316,0.9658619165420532,1.2075663805007935,0.8821052312850952,0.6501927375793457,0.6757924556732178,0.6757924556732178,1.6013297354788847e-08,0.7304817735313852,0.7370920322421308,0.5961200594902039
ideology,IDEOLOGY,ideology__competition_policy__cooperation_policy,competition-policy vs cooperation-policy,competition-policy,cooperation-policy,-35,1,35,2048,1.6925106048583984,1.1718205213546753,1.395768642425537,0.8263360857963562,0.6303881406784058,0.6465504169464111,0.6465504169464111,2.487405126316844e-08,0.5920294099460258,0.762871368579878,0.5342679023742676
ideology,IDEOLOGY,ideology__consumer_protection__corporate_freedom,consumer-protection vs corporate-freedom,consumer-protection,corporate-freedom,-35,1,35,2048,1.6663256883621216,1.0535640716552734,1.2895822525024414,1.0588613748550415,0.8388201594352722,0.6102736592292786,0.6102736592292786,-7.662530521201916e-08,0.8210886686757012,0.7921907242580333,0.6461953520774841
ideology,IDEOLOGY,ideology__data_protection_priority__data_utilization_priority,data-protection-priority vs data-utilization-priority,data-protection-priority,data-utilization-priority,-35,1,35,2048,1.4917596578598022,0.9323089122772217,1.1272172927856445,1.0519590377807617,0.8629947304725647,0.5718345642089844,0.5718345642089844,-6.988873479940594e-08,0.9332353615522521,0.820369139366072,0.6015465259552002
ideology,IDEOLOGY,ideology__economic_growth_priority__sustainability_priority,economic-growth-priority vs sustainability-priority,economic-growth-priority,sustainability-priority,-35,1,35,2048,1.5723717212677002,1.0119343996047974,1.1815497875213623,1.1867974996566772,1.0162888765335083,0.5164311528205872,0.5164311528205872,-1.5899548344577852e-08,1.0044413804570382,0.8563287981542811,0.6128992438316345
ideology,IDEOLOGY,ideology__energy_transition__fossil_energy_support,energy-transition vs fossil-energy-support,energy-transition,fossil-energy-support,-35,1,35,2048,1.5510752201080322,1.1436901092529297,1.2998204231262207,0.818285346031189,0.7008998394012451,0.5160691142082214,0.5160691142082214,0.0,0.6295372279680885,0.8565469769203594,0.42229175567626953
ideology,IDEOLOGY,ideology__environmental_protection__economic_growth,environmental-protection vs economic-growth,environmental-protection,economic-growth,-35,1,35,2048,1.574904203414917,1.216846227645874,1.3449805974960327,0.8283630609512329,0.7403334975242615,0.44860395789146423,0.44860395789146423,4.9571557525496246e-08,0.6158922013398609,0.8937306990416924,0.3716069459915161
ideology,IDEOLOGY,ideology__equality_priority__merit_priority,equality-priority vs merit-priority,equality-priority,merit-priority,-35,1,35,2048,1.4246537685394287,0.9692328572273254,1.1472039222717285,0.820850133895874,0.6693366765975952,0.5788714289665222,0.5788714289665222,-5.5488882821919105e-08,0.7155224262748346,0.8154188553528353,0.4751667082309723
ideology,IDEOLOGY,ideology__equity_priority__efficiency_priority,equity-priority vs efficiency-priority,equity-priority,efficiency-priority,-35,1,35,2048,1.4587587118148804,0.9402050375938416,1.1496655941009521,0.8584878444671631,0.6665547490119934,0.6302049160003662,0.6302049160003662,-2.8560160458823702e-08,0.7467283085378471,0.7764288723571892,0.5410232543945312
ideology,IDEOLOGY,ideology__global_cooperation__national_self_reliance,global-cooperation vs national-self-reliance,global-cooperation,national-self-reliance,-35,1,35,2048,1.4850112199783325,0.9700594544410706,1.147544026374817,1.012481689453125,0.8495212197303772,0.5440565943717957,0.5440565943717957,3.248145574730188e-08,0.8823031327622657,0.8390484772018265,0.5508473515510559
ideology,IDEOLOGY,ideology__government_intervention__free_market,government-intervention vs free-market,government-intervention,free-market,-35,1,35,2048,1.5651718378067017,1.0062839984893799,1.226502537727356,0.9526311159133911,0.751169741153717,0.6150075793266296,0.6150075793266296,-4.1445506582249436e-08,0.7767053769644586,0.7885211060248529,0.5858753323554993
ideology,IDEOLOGY,ideology__hierarchy_support__egalitarianism_support,hierarchy-support vs egalitarianism-support,hierarchy-support,egalitarianism-support,-35,1,35,2048,1.4779187440872192,0.9995667338371277,1.182356357574463,0.8802773952484131,0.7236866354942322,0.5693257451057434,0.5693257451057434,-7.619021857863117e-08,0.7445110686039295,0.8221120290042309,0.5011645555496216
ideology,IDEOLOGY,ideology__human_rights_priority__sovereignty_priority,human-rights-priority vs sovereignty-priority,human-rights-priority,sovereignty-priority,-35,1,35,2048,1.6131458282470703,1.0394161939620972,1.2555233240127563,1.0295121669769287,0.8322155475616455,0.5886898040771484,0.5886898040771484,-3.56532794398845e-08,0.8199864927132717,0.8083591182854815,0.6060633659362793
ideology,IDEOLOGY,ideology__inclusive_policy__selective_policy,inclusive-policy vs selective-policy,inclusive-policy,selective-policy,-35,1,35,2048,1.5946846008300781,1.0970230102539062,1.3100148439407349,0.792717456817627,0.6058030724525452,0.6449668407440186,0.6449668407440186,6.923799134028741e-08,0.6051209728532584,0.7642105863097154,0.5112764239311218
