model,category,pair_slug,concat_variant,layer,negative,positive,positive_minus_negative
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,0,0.9984566541624416,0.9978267143723544,-0.0006299397900871861
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,1,0.9976255162528771,0.9969520223259661,-0.0006734939269109619
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,2,0.9958621352996434,0.9949292013734703,-0.0009329339261731073
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,3,0.9833885690640691,0.9775915403638642,-0.0057970287002049314
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,4,0.935790756527893,0.9238026419619715,-0.011988114565921526
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,5,0.8980855139746875,0.8792027109995822,-0.01888280297510525
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,6,0.8415140585310863,0.824292647969026,-0.01722141056206028
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,7,0.7931692022644186,0.7765298913858822,-0.016639310878536318
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,8,0.7304509737414095,0.7145579715383781,-0.01589300220303147
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,9,0.6960785280819212,0.682261398186577,-0.013817129895344116
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,10,0.6559754107602623,0.6335399582773095,-0.022435452482952867
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,11,0.6602671818981062,0.638627505634436,-0.021639676263670138
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,12,0.6144731423895522,0.5890793774534552,-0.02539376493609702
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,13,0.611097719742348,0.5670488481040858,-0.0440488716382621
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,14,0.641043070490574,0.5842362204083913,-0.05680685008218267
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,15,0.60979507266884,0.5584361645672034,-0.05135890810163668
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,16,0.604816026211976,0.5585891464955076,-0.04622687971646844
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,17,0.6226217575149302,0.5822592975655092,-0.040362459949421
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,18,0.5996444351067328,0.5655660319980318,-0.03407840310870103
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,19,0.5850461893037626,0.5559272752854346,-0.029118914018328
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,20,0.5870617726633345,0.560329100078524,-0.02673267258481049
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,21,0.5785267650965846,0.5540436895324778,-0.024483075564106782
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,22,0.5836195378101396,0.5521062949539914,-0.031513242856148205
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,23,0.5747676893129178,0.5469940864829907,-0.027773602829927024
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,24,0.6016086294971417,0.5815129948002378,-0.020095634696903897
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,25,0.6325904280786631,0.613109633684889,-0.019480794393774037
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,26,0.7271587737104694,0.7259887521158747,-0.0011700215945947834
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,27,0.7891197866090492,0.7889825779006929,-0.00013720870835631782
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,0,0.9984598373084123,0.9978279927506903,-0.0006318445577219167
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,1,0.9976243439711407,0.9969675987134176,-0.0006567452577231903
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,2,0.9958170140440025,0.9949808294512432,-0.0008361845927592482
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,3,0.9829873287699218,0.9779398100935488,-0.005047518676372986
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,4,0.9346002999188242,0.9233677606586026,-0.011232539260221608
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,5,0.896298623578454,0.8777436193976476,-0.018555004180806467
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,6,0.8387639031886519,0.8223217778102768,-0.016442125378375083
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,7,0.7896953361166016,0.7750296672229272,-0.014665668893674377
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,8,0.7277115979862058,0.7133622442411566,-0.014349353745049198
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,9,0.6969721279929266,0.6847773064378212,-0.012194821555105428
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,10,0.6582209975811883,0.6352669677668132,-0.02295402981437511
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,11,0.6638872977950537,0.6417861900139249,-0.022101107781128837
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,12,0.622665796965462,0.6004882886267865,-0.02217750833867549
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,13,0.6092540116317778,0.6043660317572137,-0.00488797987456413
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,14,0.6430594211770143,0.6254170142090278,-0.017642406967986468
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,15,0.6137468016060627,0.6066251449701975,-0.00712165663586517
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,16,0.6122377489554615,0.6077018258628012,-0.004535923092660266
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,17,0.6332678794648954,0.62981303832444,-0.003454841140455356
